,Transaction,Date,Customer,Item_Code,Brand,Qty
274,sales,06-Jan-23,C1,A5,Dove,6
275,sales,06-Jan-23,C1,A6,Medimix,3
276,sales,06-Jan-23,C2,A1,Hamam,5
277,sales,06-Jan-23,C2,A2,LUX,7
278,sales,06-Jan-23,C2,A3,Park Avenue,3
279,sales,06-Jan-23,C2,A4,Cinthol,1
280,sales,06-Jan-23,C2,A5,Dove,9
281,sales,06-Jan-23,C2,A6,Medimix,4
282,sales,06-Jan-23,C3,A1,Hamam,2
283,sales,06-Jan-23,C3,A2,LUX,1
284,sales,06-Jan-23,C3,A3,Park Avenue,9
285,sales,06-Jan-23,C3,A4,Cinthol,9
286,sales,06-Jan-23,C3,A5,Dove,10
287,sales,06-Jan-23,C3,A6,Medimix,10
288,sales,06-Jan-23,C4,A1,Hamam,8
289,sales,06-Jan-23,C4,A2,LUX,7
290,sales,06-Jan-23,C4,A3,Park Avenue,8
291,sales,06-Jan-23,C4,A4,Cinthol,10
292,sales,06-Jan-23,C4,A5,Dove,6
293,sales,06-Jan-23,C4,A6,Medimix,10
294,sales,06-Jan-23,C5,A1,Hamam,1
295,sales,06-Jan-23,C5,A2,LUX,6
296,sales,06-Jan-23,C5,A3,Park Avenue,9
297,sales,06-Jan-23,C5,A4,Cinthol,6
298,sales,06-Jan-23,C5,A5,Dove,7
299,sales,06-Jan-23,C5,A6,Medimix,5
300,sales,06-Jan-23,C6,A1,Hamam,5
301,sales,06-Jan-23,C6,A2,LUX,10
302,sales,06-Jan-23,C6,A3,Park Avenue,6
303,sales,06-Jan-23,C6,A4,Cinthol,8
304,sales,06-Jan-23,C6,A5,Dove,5
305,sales,06-Jan-23,C6,A6,Medimix,9
306,sales,06-Jan-23,C7,A1,Hamam,5
307,sales,06-Jan-23,C7,A2,LUX,7
308,sales,06-Jan-23,C7,A3,Park Avenue,7
309,sales,06-Jan-23,C7,A4,Cinthol,3
310,sales,06-Jan-23,C7,A5,Dove,8
311,sales,06-Jan-23,C7,A6,Medimix,10
312,sales,06-Jan-23,C8,A1,Hamam,3
313,sales,06-Jan-23,C8,A2,LUX,10
314,sales,06-Jan-23,C8,A3,Park Avenue,6
315,sales,06-Jan-23,C8,A4,Cinthol,3
316,sales,06-Jan-23,C8,A5,Dove,10
317,sales,06-Jan-23,C8,A6,Medimix,9
318,sales,06-Jan-23,C9,A1,Hamam,4
319,sales,06-Jan-23,C9,A2,LUX,5
320,sales,06-Jan-23,C9,A3,Park Avenue,2
321,sales,06-Jan-23,C9,A4,Cinthol,9
322,sales,06-Jan-23,C9,A5,Dove,5
323,sales,06-Jan-23,C9,A6,Medimix,4
324,sales,07-Jan-23,C1,A1,Hamam,7
325,sales,07-Jan-23,C1,A2,LUX,1
326,sales,07-Jan-23,C1,A3,Park Avenue,6
327,sales,07-Jan-23,C1,A4,Cinthol,8
328,sales,07-Jan-23,C1,A5,Dove,8
329,sales,07-Jan-23,C1,A6,Medimix,8
330,sales,07-Jan-23,C2,A1,Hamam,8
331,sales,07-Jan-23,C2,A2,LUX,6
332,sales,07-Jan-23,C2,A3,Park Avenue,4
333,sales,07-Jan-23,C2,A4,Cinthol,1
334,sales,07-Jan-23,C2,A5,Dove,4
335,sales,07-Jan-23,C2,A6,Medimix,7
336,sales,07-Jan-23,C3,A1,Hamam,10
337,sales,07-Jan-23,C3,A2,LUX,2
338,sales,07-Jan-23,C3,A3,Park Avenue,2
339,sales,07-Jan-23,C3,A4,Cinthol,10
340,sales,07-Jan-23,C3,A5,Dove,2
341,sales,07-Jan-23,C3,A6,Medimix,4
342,sales,07-Jan-23,C4,A1,Hamam,4
343,sales,07-Jan-23,C4,A2,LUX,10
344,sales,07-Jan-23,C4,A3,Park Avenue,9
345,sales,07-Jan-23,C4,A4,Cinthol,3
346,sales,07-Jan-23,C4,A5,Dove,4
347,sales,07-Jan-23,C4,A6,Medimix,6
348,sales,07-Jan-23,C5,A1,Hamam,5
349,sales,07-Jan-23,C5,A2,LUX,9
350,sales,07-Jan-23,C5,A3,Park Avenue,7
351,sales,07-Jan-23,C5,A4,Cinthol,6
352,sales,07-Jan-23,C5,A5,Dove,4
353,sales,07-Jan-23,C5,A6,Medimix,1
354,sales,07-Jan-23,C6,A1,Hamam,3
355,sales,07-Jan-23,C6,A2,LUX,5
356,sales,07-Jan-23,C6,A3,Park Avenue,1
357,sales,07-Jan-23,C6,A4,Cinthol,6
358,sales,07-Jan-23,C6,A5,Dove,3
359,sales,07-Jan-23,C6,A6,Medimix,8
360,sales,07-Jan-23,C7,A1,Hamam,2
361,sales,07-Jan-23,C7,A2,LUX,8
362,sales,07-Jan-23,C7,A3,Park Avenue,8
363,sales,07-Jan-23,C7,A4,Cinthol,7
364,sales,07-Jan-23,C7,A5,Dove,4
365,sales,07-Jan-23,C7,A6,Medimix,5
366,sales,07-Jan-23,C8,A1,Hamam,10
367,sales,07-Jan-23,C8,A2,LUX,6
368,sales,07-Jan-23,C8,A3,Park Avenue,2
369,sales,07-Jan-23,C8,A4,Cinthol,8
370,sales,07-Jan-23,C8,A5,Dove,5
371,sales,07-Jan-23,C8,A6,Medimix,7
372,sales,07-Jan-23,C9,A1,Hamam,7
373,sales,07-Jan-23,C9,A2,LUX,3
374,sales,07-Jan-23,C9,A3,Park Avenue,1
375,sales,07-Jan-23,C9,A4,Cinthol,7
376,sales,07-Jan-23,C9,A5,Dove,8
377,sales,07-Jan-23,C9,A6,Medimix,5
378,sales,08-Jan-23,C1,A1,Hamam,8
379,sales,08-Jan-23,C1,A2,LUX,8
380,sales,08-Jan-23,C1,A3,Park Avenue,4
381,sales,08-Jan-23,C1,A4,Cinthol,6
382,sales,08-Jan-23,C1,A5,Dove,4
383,sales,08-Jan-23,C1,A6,Medimix,5
384,sales,08-Jan-23,C2,A1,Hamam,9
385,sales,08-Jan-23,C2,A2,LUX,5
386,sales,08-Jan-23,C2,A3,Park Avenue,5
387,sales,08-Jan-23,C2,A4,Cinthol,5
388,sales,08-Jan-23,C2,A5,Dove,10
389,sales,08-Jan-23,C2,A6,Medimix,8
390,sales,08-Jan-23,C3,A1,Hamam,7
391,sales,08-Jan-23,C3,A2,LUX,6
392,sales,08-Jan-23,C3,A3,Park Avenue,4
393,sales,08-Jan-23,C3,A4,Cinthol,10
394,sales,08-Jan-23,C3,A5,Dove,3
395,sales,08-Jan-23,C3,A6,Medimix,7
396,sales,08-Jan-23,C4,A1,Hamam,4
397,sales,08-Jan-23,C4,A2,LUX,7
398,sales,08-Jan-23,C4,A3,Park Avenue,7
399,sales,08-Jan-23,C4,A4,Cinthol,4
400,sales,08-Jan-23,C4,A5,Dove,4
401,sales,08-Jan-23,C4,A6,Medimix,1
402,sales,08-Jan-23,C5,A1,Hamam,8
403,sales,08-Jan-23,C5,A2,LUX,1
404,sales,08-Jan-23,C5,A3,Park Avenue,5
405,sales,08-Jan-23,C5,A4,Cinthol,5
406,sales,08-Jan-23,C5,A5,Dove,9
407,sales,08-Jan-23,C5,A6,Medimix,4
408,sales,08-Jan-23,C6,A1,Hamam,10
409,sales,08-Jan-23,C6,A2,LUX,4
410,sales,08-Jan-23,C6,A3,Park Avenue,4
411,sales,08-Jan-23,C6,A4,Cinthol,5
412,sales,08-Jan-23,C6,A5,Dove,2
413,sales,08-Jan-23,C6,A6,Medimix,7
414,sales,08-Jan-23,C7,A1,Hamam,8
415,sales,08-Jan-23,C7,A2,LUX,4
416,sales,08-Jan-23,C7,A3,Park Avenue,6
417,sales,08-Jan-23,C7,A4,Cinthol,8
418,sales,08-Jan-23,C7,A5,Dove,2
419,sales,08-Jan-23,C7,A6,Medimix,8
420,sales,08-Jan-23,C8,A1,Hamam,9
421,sales,08-Jan-23,C8,A2,LUX,3
422,sales,08-Jan-23,C8,A3,Park Avenue,2
423,sales,08-Jan-23,C8,A4,Cinthol,7
424,sales,08-Jan-23,C8,A5,Dove,7
425,sales,08-Jan-23,C8,A6,Medimix,2
426,sales,08-Jan-23,C9,A1,Hamam,4
427,sales,08-Jan-23,C9,A2,LUX,2
428,sales,08-Jan-23,C9,A3,Park Avenue,7
429,sales,08-Jan-23,C9,A4,Cinthol,8
430,sales,08-Jan-23,C9,A5,Dove,2
431,sales,08-Jan-23,C9,A6,Medimix,5
432,sales,09-Jan-23,C1,A1,Hamam,10
433,sales,09-Jan-23,C1,A2,LUX,7
434,sales,09-Jan-23,C1,A3,Park Avenue,2
435,sales,09-Jan-23,C1,A4,Cinthol,10
436,sales,09-Jan-23,C1,A5,Dove,2
437,sales,09-Jan-23,C1,A6,Medimix,10
438,sales,09-Jan-23,C2,A1,Hamam,8
439,sales,09-Jan-23,C2,A2,LUX,7
440,sales,09-Jan-23,C2,A3,Park Avenue,8
441,sales,09-Jan-23,C2,A4,Cinthol,10
442,sales,09-Jan-23,C2,A5,Dove,2
443,sales,09-Jan-23,C2,A6,Medimix,3
444,sales,09-Jan-23,C3,A1,Hamam,1
445,sales,09-Jan-23,C3,A2,LUX,7
446,sales,09-Jan-23,C3,A3,Park Avenue,1
447,sales,09-Jan-23,C3,A4,Cinthol,5
448,sales,09-Jan-23,C3,A5,Dove,10
449,sales,09-Jan-23,C3,A6,Medimix,2
450,sales,09-Jan-23,C4,A1,Hamam,5
451,sales,09-Jan-23,C4,A2,LUX,4
452,sales,09-Jan-23,C4,A3,Park Avenue,8
453,sales,09-Jan-23,C4,A4,Cinthol,1
454,sales,09-Jan-23,C4,A5,Dove,4
455,sales,09-Jan-23,C4,A6,Medimix,8
456,sales,09-Jan-23,C5,A1,Hamam,4
457,sales,09-Jan-23,C5,A2,LUX,2
458,sales,09-Jan-23,C5,A3,Park Avenue,1
459,sales,09-Jan-23,C5,A4,Cinthol,6
460,sales,09-Jan-23,C5,A5,Dove,7
461,sales,09-Jan-23,C5,A6,Medimix,1
462,sales,09-Jan-23,C6,A1,Hamam,7
463,sales,09-Jan-23,C6,A2,LUX,3
464,sales,09-Jan-23,C6,A3,Park Avenue,3
465,sales,09-Jan-23,C6,A4,Cinthol,6
466,sales,09-Jan-23,C6,A5,Dove,10
467,sales,09-Jan-23,C6,A6,Medimix,1
468,sales,09-Jan-23,C7,A1,Hamam,3
469,sales,09-Jan-23,C7,A2,LUX,8
470,sales,09-Jan-23,C7,A3,Park Avenue,4
471,sales,09-Jan-23,C7,A4,Cinthol,1
472,sales,09-Jan-23,C7,A5,Dove,10
473,sales,09-Jan-23,C7,A6,Medimix,6
474,sales,09-Jan-23,C8,A1,Hamam,1
475,sales,09-Jan-23,C8,A2,LUX,5
476,sales,09-Jan-23,C8,A3,Park Avenue,10
477,sales,09-Jan-23,C8,A4,Cinthol,9
478,sales,09-Jan-23,C8,A5,Dove,1
479,sales,09-Jan-23,C8,A6,Medimix,5
480,sales,09-Jan-23,C9,A1,Hamam,6
481,sales,09-Jan-23,C9,A2,LUX,1
482,sales,09-Jan-23,C9,A3,Park Avenue,5
483,sales,09-Jan-23,C9,A4,Cinthol,10
484,sales,09-Jan-23,C9,A5,Dove,7
485,sales,09-Jan-23,C9,A6,Medimix,4
486,sales,10-Jan-23,C1,A1,Hamam,7
487,sales,10-Jan-23,C1,A2,LUX,4
488,sales,10-Jan-23,C1,A3,Park Avenue,1
489,sales,10-Jan-23,C1,A4,Cinthol,10
490,sales,10-Jan-23,C1,A5,Dove,5
491,sales,10-Jan-23,C1,A6,Medimix,4
492,sales,10-Jan-23,C2,A1,Hamam,10
493,sales,10-Jan-23,C2,A2,LUX,8
494,sales,10-Jan-23,C2,A3,Park Avenue,9
495,sales,10-Jan-23,C2,A4,Cinthol,9
496,sales,10-Jan-23,C2,A5,Dove,2
497,sales,10-Jan-23,C2,A6,Medimix,7
498,sales,10-Jan-23,C3,A1,Hamam,10
499,sales,10-Jan-23,C3,A2,LUX,6
500,sales,10-Jan-23,C3,A3,Park Avenue,5
501,sales,10-Jan-23,C3,A4,Cinthol,2
502,sales,10-Jan-23,C3,A5,Dove,7
503,sales,10-Jan-23,C3,A6,Medimix,9
504,sales,10-Jan-23,C4,A1,Hamam,2
505,sales,10-Jan-23,C4,A2,LUX,2
506,sales,10-Jan-23,C4,A3,Park Avenue,8
507,sales,10-Jan-23,C4,A4,Cinthol,3
508,sales,10-Jan-23,C4,A5,Dove,1
509,sales,10-Jan-23,C4,A6,Medimix,10
510,sales,10-Jan-23,C5,A1,Hamam,8
511,sales,10-Jan-23,C5,A2,LUX,2
512,sales,10-Jan-23,C5,A3,Park Avenue,7
513,sales,10-Jan-23,C5,A4,Cinthol,4
514,sales,10-Jan-23,C5,A5,Dove,9
515,sales,10-Jan-23,C5,A6,Medimix,9
516,sales,10-Jan-23,C6,A1,Hamam,2
517,sales,10-Jan-23,C6,A2,LUX,9
518,sales,10-Jan-23,C6,A3,Park Avenue,2
519,sales,10-Jan-23,C6,A4,Cinthol,1
520,sales,10-Jan-23,C6,A5,Dove,5
521,sales,10-Jan-23,C6,A6,Medimix,1
522,sales,10-Jan-23,C7,A1,Hamam,7
523,sales,10-Jan-23,C7,A2,LUX,1
524,sales,10-Jan-23,C7,A3,Park Avenue,2
525,sales,10-Jan-23,C7,A4,Cinthol,9
526,sales,10-Jan-23,C7,A5,Dove,4
527,sales,10-Jan-23,C7,A6,Medimix,9
528,sales,10-Jan-23,C8,A1,Hamam,4
529,sales,10-Jan-23,C8,A2,LUX,3
530,sales,10-Jan-23,C8,A3,Park Avenue,5
531,sales,10-Jan-23,C8,A4,Cinthol,9
