,Transaction,Date,Customer,Item_Code,Brand,Qty,Stock_Remaining
67,sales,02-Jan-23,C3,A2,LUX,1,1931
68,sales,02-Jan-23,C3,A3,Park Avenue,4,1927
69,sales,02-Jan-23,C3,A4,Cinthol,2,1922
70,sales,02-Jan-23,C3,A5,Dove,1,1939
71,sales,02-Jan-23,C3,A6,Medimix,7,1946
72,sales,02-Jan-23,C4,A1,Hamam,8,1928
73,sales,02-Jan-23,C4,A2,LUX,8,1923
74,sales,02-Jan-23,C4,A3,Park Avenue,4,1923
75,sales,02-Jan-23,C4,A4,Cinthol,2,1920
76,sales,02-Jan-23,C4,A5,Dove,2,1937
77,sales,02-Jan-23,C4,A6,Medimix,8,1938
78,sales,02-Jan-23,C5,A1,Hamam,2,1926
79,sales,02-Jan-23,C5,A2,LUX,9,1914
80,sales,02-Jan-23,C5,A3,Park Avenue,2,1921
81,sales,02-Jan-23,C5,A4,Cinthol,3,1917
82,sales,02-Jan-23,C5,A5,Dove,1,1936
83,sales,02-Jan-23,C5,A6,Medimix,10,1928
84,sales,02-Jan-23,C6,A1,Hamam,2,1924
85,sales,02-Jan-23,C6,A2,LUX,3,1911
86,sales,02-Jan-23,C6,A3,Park Avenue,6,1915
87,sales,02-Jan-23,C6,A4,Cinthol,8,1909
88,sales,02-Jan-23,C6,A5,Dove,3,1933
89,sales,02-Jan-23,C6,A6,Medimix,7,1921
90,sales,02-Jan-23,C7,A1,Hamam,4,1920
91,sales,02-Jan-23,C7,A2,LUX,1,1910
92,sales,02-Jan-23,C7,A3,Park Avenue,3,1912
93,sales,02-Jan-23,C7,A4,Cinthol,8,1901
94,sales,02-Jan-23,C7,A5,Dove,8,1925
95,sales,02-Jan-23,C7,A6,Medimix,2,1919
96,sales,02-Jan-23,C8,A1,Hamam,5,1915
97,sales,02-Jan-23,C8,A2,LUX,1,1909
98,sales,02-Jan-23,C8,A3,Park Avenue,10,1902
99,sales,02-Jan-23,C8,A4,Cinthol,6,1895
100,sales,02-Jan-23,C8,A5,Dove,3,1922
101,sales,02-Jan-23,C8,A6,Medimix,4,1915
102,sales,02-Jan-23,C9,A1,Hamam,6,1909
103,sales,02-Jan-23,C9,A2,LUX,10,1899
104,sales,02-Jan-23,C9,A3,Park Avenue,5,1897
105,sales,02-Jan-23,C9,A4,Cinthol,4,1891
106,sales,02-Jan-23,C9,A5,Dove,4,1918
107,sales,02-Jan-23,C9,A6,Medimix,2,1913
108,sales,03-Jan-23,C1,A1,Hamam,9,1900
109,sales,03-Jan-23,C1,A2,LUX,4,1895
110,sales,03-Jan-23,C1,A3,Park Avenue,6,1891
111,sales,03-Jan-23,C1,A4,Cinthol,1,1890
112,sales,03-Jan-23,C1,A5,Dove,2,1916
113,sales,03-Jan-23,C1,A6,Medimix,10,1903
114,sales,03-Jan-23,C2,A1,Hamam,2,1898
115,sales,03-Jan-23,C2,A2,LUX,4,1891
116,sales,03-Jan-23,C2,A3,Park Avenue,3,1888
117,sales,03-Jan-23,C2,A4,Cinthol,4,1886
118,sales,03-Jan-23,C2,A5,Dove,2,1914
119,sales,03-Jan-23,C2,A6,Medimix,3,1900
120,sales,03-Jan-23,C3,A1,Hamam,1,1897
121,sales,03-Jan-23,C3,A2,LUX,5,1886
122,sales,03-Jan-23,C3,A3,Park Avenue,6,1882
123,sales,03-Jan-23,C3,A4,Cinthol,4,1882
124,sales,03-Jan-23,C3,A5,Dove,3,1911
125,sales,03-Jan-23,C3,A6,Medimix,2,1898
126,sales,03-Jan-23,C4,A1,Hamam,9,1888
127,sales,03-Jan-23,C4,A2,LUX,1,1885
128,sales,03-Jan-23,C4,A3,Park Avenue,10,1872
129,sales,03-Jan-23,C4,A4,Cinthol,4,1878
130,sales,03-Jan-23,C4,A5,Dove,1,1910
131,sales,03-Jan-23,C4,A6,Medimix,1,1897
132,sales,03-Jan-23,C5,A1,Hamam,4,1884
133,sales,03-Jan-23,C5,A2,LUX,9,1876
134,sales,03-Jan-23,C5,A3,Park Avenue,8,1864
135,sales,03-Jan-23,C5,A4,Cinthol,8,1870
136,sales,03-Jan-23,C5,A5,Dove,7,1903
137,sales,03-Jan-23,C5,A6,Medimix,2,1895
138,sales,03-Jan-23,C6,A1,Hamam,6,1878
139,sales,03-Jan-23,C6,A2,LUX,2,1874
140,sales,03-Jan-23,C6,A3,Park Avenue,8,1856
141,sales,03-Jan-23,C6,A4,Cinthol,3,1867
142,sales,03-Jan-23,C6,A5,Dove,3,1900
143,sales,03-Jan-23,C6,A6,Medimix,1,1894
144,sales,03-Jan-23,C7,A1,Hamam,4,1874
145,sales,03-Jan-23,C7,A2,LUX,6,1868
146,sales,03-Jan-23,C7,A3,Park Avenue,5,1851
147,sales,03-Jan-23,C7,A4,Cinthol,10,1857
148,sales,03-Jan-23,C7,A5,Dove,2,1898
149,sales,03-Jan-23,C7,A6,Medimix,6,1888
150,sales,03-Jan-23,C8,A1,Hamam,2,1872
151,sales,03-Jan-23,C8,A2,LUX,4,1864
152,sales,03-Jan-23,C8,A3,Park Avenue,1,1850
153,sales,03-Jan-23,C8,A4,Cinthol,8,1849
154,sales,03-Jan-23,C8,A5,Dove,2,1896
155,sales,03-Jan-23,C8,A6,Medimix,6,1882
156,sales,03-Jan-23,C9,A1,Hamam,4,1868
157,sales,03-Jan-23,C9,A2,LUX,1,1863
158,sales,03-Jan-23,C9,A3,Park Avenue,1,1849
159,sales,03-Jan-23,C9,A4,Cinthol,6,1843
160,sales,03-Jan-23,C9,A5,Dove,5,1891
161,sales,03-Jan-23,C9,A6,Medimix,8,1874
162,sales,04-Jan-23,C1,A1,Hamam,9,1859
163,sales,04-Jan-23,C1,A2,LUX,9,1854
164,sales,04-Jan-23,C1,A3,Park Avenue,6,1843
165,sales,04-Jan-23,C1,A4,Cinthol,2,1841
166,sales,04-Jan-23,C1,A5,Dove,10,1881
167,sales,04-Jan-23,C1,A6,Medimix,2,1872
168,sales,04-Jan-23,C2,A1,Hamam,4,1855
169,sales,04-Jan-23,C2,A2,LUX,5,1849
170,sales,04-Jan-23,C2,A3,Park Avenue,4,1839
171,sales,04-Jan-23,C2,A4,Cinthol,8,1833
172,sales,04-Jan-23,C2,A5,Dove,6,1875
173,sales,04-Jan-23,C2,A6,Medimix,9,1863
174,sales,04-Jan-23,C3,A1,Hamam,6,1849
175,sales,04-Jan-23,C3,A2,LUX,4,1845
176,sales,04-Jan-23,C3,A3,Park Avenue,8,1831
177,sales,04-Jan-23,C3,A4,Cinthol,9,1824
178,sales,04-Jan-23,C3,A5,Dove,1,1874
179,sales,04-Jan-23,C3,A6,Medimix,7,1856
180,sales,04-Jan-23,C4,A1,Hamam,8,1841
181,sales,04-Jan-23,C4,A2,LUX,10,1835
182,sales,04-Jan-23,C4,A3,Park Avenue,6,1825
183,sales,04-Jan-23,C4,A4,Cinthol,3,1821
184,sales,04-Jan-23,C4,A5,Dove,10,1864
185,sales,04-Jan-23,C4,A6,Medimix,8,1848
186,sales,04-Jan-23,C5,A1,Hamam,4,1837
187,sales,04-Jan-23,C5,A2,LUX,10,1825
188,sales,04-Jan-23,C5,A3,Park Avenue,4,1821
189,sales,04-Jan-23,C5,A4,Cinthol,1,1820
190,sales,04-Jan-23,C5,A5,Dove,7,1857
191,sales,04-Jan-23,C5,A6,Medimix,9,1839
192,sales,04-Jan-23,C6,A1,Hamam,7,1830
193,sales,04-Jan-23,C6,A2,LUX,2,1823
194,sales,04-Jan-23,C6,A3,Park Avenue,5,1816
195,sales,04-Jan-23,C6,A4,Cinthol,5,1815
196,sales,04-Jan-23,C6,A5,Dove,2,1855
197,sales,04-Jan-23,C6,A6,Medimix,9,1830
198,sales,04-Jan-23,C7,A1,Hamam,10,1820
199,sales,04-Jan-23,C7,A2,LUX,5,1818
200,sales,04-Jan-23,C7,A3,Park Avenue,10,1806
201,sales,04-Jan-23,C7,A4,Cinthol,3,1812
202,sales,04-Jan-23,C7,A5,Dove,5,1850
203,sales,04-Jan-23,C7,A6,Medimix,2,1828
204,sales,04-Jan-23,C8,A1,Hamam,6,1814
205,sales,04-Jan-23,C8,A2,LUX,6,1812
206,sales,04-Jan-23,C8,A3,Park Avenue,9,1797
207,sales,04-Jan-23,C8,A4,Cinthol,7,1805
208,sales,04-Jan-23,C8,A5,Dove,5,1845
209,sales,04-Jan-23,C8,A6,Medimix,8,1820
210,sales,04-Jan-23,C9,A1,Hamam,3,1811
211,sales,04-Jan-23,C9,A2,LUX,6,1806
212,sales,04-Jan-23,C9,A3,Park Avenue,7,1790
213,sales,04-Jan-23,C9,A4,Cinthol,2,1803
214,sales,04-Jan-23,C9,A5,Dove,3,1842
215,sales,04-Jan-23,C9,A6,Medimix,5,1815
216,sales,05-Jan-23,C1,A1,Hamam,10,1801
217,sales,05-Jan-23,C1,A2,LUX,7,1799
218,sales,05-Jan-23,C1,A3,Park Avenue,3,1787
219,sales,05-Jan-23,C1,A4,Cinthol,1,1802
220,sales,05-Jan-23,C1,A5,Dove,9,1833
221,sales,05-Jan-23,C1,A6,Medimix,8,1807
222,sales,05-Jan-23,C2,A1,Hamam,3,1798
223,sales,05-Jan-23,C2,A2,LUX,6,1793
224,sales,05-Jan-23,C2,A3,Park Avenue,2,1785
225,sales,05-Jan-23,C2,A4,Cinthol,5,1797
226,sales,05-Jan-23,C2,A5,Dove,5,1828
227,sales,05-Jan-23,C2,A6,Medimix,6,1801
228,sales,05-Jan-23,C3,A1,Hamam,1,1797
229,sales,05-Jan-23,C3,A2,LUX,9,1784
230,sales,05-Jan-23,C3,A3,Park Avenue,3,1782
231,sales,05-Jan-23,C3,A4,Cinthol,2,1795
232,sales,05-Jan-23,C3,A5,Dove,7,1821
233,sales,05-Jan-23,C3,A6,Medimix,1,1800
234,sales,05-Jan-23,C4,A1,Hamam,10,1787
235,sales,05-Jan-23,C4,A2,LUX,7,1777
236,sales,05-Jan-23,C4,A3,Park Avenue,3,1779
237,sales,05-Jan-23,C4,A4,Cinthol,5,1790
238,sales,05-Jan-23,C4,A5,Dove,9,1812
239,sales,05-Jan-23,C4,A6,Medimix,5,1795
240,sales,05-Jan-23,C5,A1,Hamam,7,1780
241,sales,05-Jan-23,C5,A2,LUX,3,1774
242,sales,05-Jan-23,C5,A3,Park Avenue,4,1775
243,sales,05-Jan-23,C5,A4,Cinthol,7,1783
244,sales,05-Jan-23,C5,A5,Dove,3,1809
245,sales,05-Jan-23,C5,A6,Medimix,10,1785
246,sales,05-Jan-23,C6,A1,Hamam,7,1773
247,sales,05-Jan-23,C6,A2,LUX,2,1772
248,sales,05-Jan-23,C6,A3,Park Avenue,2,1773
249,sales,05-Jan-23,C6,A4,Cinthol,4,1779
250,sales,05-Jan-23,C6,A5,Dove,1,1808
251,sales,05-Jan-23,C6,A6,Medimix,7,1778
252,sales,05-Jan-23,C7,A1,Hamam,7,1766
253,sales,05-Jan-23,C7,A2,LUX,3,1769
254,sales,05-Jan-23,C7,A3,Park Avenue,1,1772
255,sales,05-Jan-23,C7,A4,Cinthol,10,1769
256,sales,05-Jan-23,C7,A5,Dove,3,1805
257,sales,05-Jan-23,C7,A6,Medimix,1,1777
258,sales,05-Jan-23,C8,A1,Hamam,1,1765
259,sales,05-Jan-23,C8,A2,LUX,7,1762
260,sales,05-Jan-23,C8,A3,Park Avenue,9,1763
261,sales,05-Jan-23,C8,A4,Cinthol,9,1760
262,sales,05-Jan-23,C8,A5,Dove,7,1798
263,sales,05-Jan-23,C8,A6,Medimix,1,1776
264,sales,05-Jan-23,C9,A1,Hamam,3,1762
265,sales,05-Jan-23,C9,A2,LUX,6,1756
266,sales,05-Jan-23,C9,A3,Park Avenue,8,1755
267,sales,05-Jan-23,C9,A4,Cinthol,10,1750
268,sales,05-Jan-23,C9,A5,Dove,1,1797
269,sales,05-Jan-23,C9,A6,Medimix,2,1774
270,sales,06-Jan-23,C1,A1,Hamam,5,1757
271,sales,06-Jan-23,C1,A2,LUX,9,1747
272,sales,06-Jan-23,C1,A3,Park Avenue,3,1752
273,sales,06-Jan-23,C1,A4,Cinthol,6,1744
274,sales,06-Jan-23,C1,A5,Dove,10,1787
275,sales,06-Jan-23,C1,A6,Medimix,7,1767
276,sales,06-Jan-23,C2,A1,Hamam,5,1752
277,sales,06-Jan-23,C2,A2,LUX,3,1744
278,sales,06-Jan-23,C2,A3,Park Avenue,1,1751
279,sales,06-Jan-23,C2,A4,Cinthol,6,1738
280,sales,06-Jan-23,C2,A5,Dove,9,1778
281,sales,06-Jan-23,C2,A6,Medimix,3,1764
282,sales,06-Jan-23,C3,A1,Hamam,3,1749
283,sales,06-Jan-23,C3,A2,LUX,5,1739
284,sales,06-Jan-23,C3,A3,Park Avenue,1,1750
285,sales,06-Jan-23,C3,A4,Cinthol,6,1732
286,sales,06-Jan-23,C3,A5,Dove,3,1775
287,sales,06-Jan-23,C3,A6,Medimix,7,1757
288,sales,06-Jan-23,C4,A1,Hamam,4,1745
289,sales,06-Jan-23,C4,A2,LUX,2,1737
290,sales,06-Jan-23,C4,A3,Park Avenue,1,1749
291,sales,06-Jan-23,C4,A4,Cinthol,5,1727
292,sales,06-Jan-23,C4,A5,Dove,9,1766
293,sales,06-Jan-23,C4,A6,Medimix,6,1751
294,sales,06-Jan-23,C5,A1,Hamam,8,1737
295,sales,06-Jan-23,C5,A2,LUX,9,1728
296,sales,06-Jan-23,C5,A3,Park Avenue,9,1740
297,sales,06-Jan-23,C5,A4,Cinthol,8,1719
298,sales,06-Jan-23,C5,A5,Dove,5,1761
299,sales,06-Jan-23,C5,A6,Medimix,4,1747
300,sales,06-Jan-23,C6,A1,Hamam,10,1727
301,sales,06-Jan-23,C6,A2,LUX,4,1724
302,sales,06-Jan-23,C6,A3,Park Avenue,9,1731
303,sales,06-Jan-23,C6,A4,Cinthol,1,1718
304,sales,06-Jan-23,C6,A5,Dove,8,1753
305,sales,06-Jan-23,C6,A6,Medimix,9,1738
306,sales,06-Jan-23,C7,A1,Hamam,6,1721
307,sales,06-Jan-23,C7,A2,LUX,2,1722
308,sales,06-Jan-23,C7,A3,Park Avenue,1,1730
309,sales,06-Jan-23,C7,A4,Cinthol,1,1717
310,sales,06-Jan-23,C7,A5,Dove,10,1743
311,sales,06-Jan-23,C7,A6,Medimix,1,1737
312,sales,06-Jan-23,C8,A1,Hamam,4,1717
313,sales,06-Jan-23,C8,A2,LUX,7,1715
314,sales,06-Jan-23,C8,A3,Park Avenue,6,1724
315,sales,06-Jan-23,C8,A4,Cinthol,9,1708
316,sales,06-Jan-23,C8,A5,Dove,5,1738
317,sales,06-Jan-23,C8,A6,Medimix,7,1730
318,sales,06-Jan-23,C9,A1,Hamam,4,1713
319,sales,06-Jan-23,C9,A2,LUX,7,1708
320,sales,06-Jan-23,C9,A3,Park Avenue,7,1717
321,sales,06-Jan-23,C9,A4,Cinthol,7,1701
322,sales,06-Jan-23,C9,A5,Dove,8,1730
323,sales,06-Jan-23,C9,A6,Medimix,4,1726
324,sales,07-Jan-23,C1,A1,Hamam,1,1712
325,sales,07-Jan-23,C1,A2,LUX,4,1704
326,sales,07-Jan-23,C1,A3,Park Avenue,5,1712
327,sales,07-Jan-23,C1,A4,Cinthol,10,1691
328,sales,07-Jan-23,C1,A5,Dove,4,1726
329,sales,07-Jan-23,C1,A6,Medimix,9,1717
330,sales,07-Jan-23,C2,A1,Hamam,4,1708
331,sales,07-Jan-23,C2,A2,LUX,3,1701
332,sales,07-Jan-23,C2,A3,Park Avenue,9,1703
333,sales,07-Jan-23,C2,A4,Cinthol,2,1689
334,sales,07-Jan-23,C2,A5,Dove,10,1716
335,sales,07-Jan-23,C2,A6,Medimix,1,1716
336,sales,07-Jan-23,C3,A1,Hamam,7,1701
337,sales,07-Jan-23,C3,A2,LUX,9,1692
338,sales,07-Jan-23,C3,A3,Park Avenue,8,1695
339,sales,07-Jan-23,C3,A4,Cinthol,7,1682
340,sales,07-Jan-23,C3,A5,Dove,5,1711
341,sales,07-Jan-23,C3,A6,Medimix,7,1709
342,sales,07-Jan-23,C4,A1,Hamam,7,1694
343,sales,07-Jan-23,C4,A2,LUX,4,1688
344,sales,07-Jan-23,C4,A3,Park Avenue,3,1692
345,sales,07-Jan-23,C4,A4,Cinthol,1,1681
346,sales,07-Jan-23,C4,A5,Dove,10,1701
347,sales,07-Jan-23,C4,A6,Medimix,1,1708
348,sales,07-Jan-23,C5,A1,Hamam,7,1687
349,sales,07-Jan-23,C5,A2,LUX,9,1679
350,sales,07-Jan-23,C5,A3,Park Avenue,2,1690
351,sales,07-Jan-23,C5,A4,Cinthol,10,1671
352,sales,07-Jan-23,C5,A5,Dove,5,1696
353,sales,07-Jan-23,C5,A6,Medimix,10,1698
354,sales,07-Jan-23,C6,A1,Hamam,10,1677
355,sales,07-Jan-23,C6,A2,LUX,1,1678
356,sales,07-Jan-23,C6,A3,Park Avenue,7,1683
357,sales,07-Jan-23,C6,A4,Cinthol,10,1661
358,sales,07-Jan-23,C6,A5,Dove,4,1692
359,sales,07-Jan-23,C6,A6,Medimix,3,1695
360,sales,07-Jan-23,C7,A1,Hamam,3,1674
361,sales,07-Jan-23,C7,A2,LUX,7,1671
362,sales,07-Jan-23,C7,A3,Park Avenue,4,1679
363,sales,07-Jan-23,C7,A4,Cinthol,4,1657
364,sales,07-Jan-23,C7,A5,Dove,8,1684
365,sales,07-Jan-23,C7,A6,Medimix,1,1694
366,sales,07-Jan-23,C8,A1,Hamam,1,1673
367,sales,07-Jan-23,C8,A2,LUX,10,1661
368,sales,07-Jan-23,C8,A3,Park Avenue,10,1669
369,sales,07-Jan-23,C8,A4,Cinthol,2,1655
370,sales,07-Jan-23,C8,A5,Dove,6,1678
371,sales,07-Jan-23,C8,A6,Medimix,7,1687
372,sales,07-Jan-23,C9,A1,Hamam,3,1670
373,sales,07-Jan-23,C9,A2,LUX,3,1658
374,sales,07-Jan-23,C9,A3,Park Avenue,1,1668
375,sales,07-Jan-23,C9,A4,Cinthol,2,1653
376,sales,07-Jan-23,C9,A5,Dove,3,1675
377,sales,07-Jan-23,C9,A6,Medimix,9,1678
378,sales,08-Jan-23,C1,A1,Hamam,10,1660
379,sales,08-Jan-23,C1,A2,LUX,9,1649
380,sales,08-Jan-23,C1,A3,Park Avenue,6,1662
381,sales,08-Jan-23,C1,A4,Cinthol,8,1645
382,sales,08-Jan-23,C1,A5,Dove,2,1673
383,sales,08-Jan-23,C1,A6,Medimix,3,1675
384,sales,08-Jan-23,C2,A1,Hamam,3,1657
385,sales,08-Jan-23,C2,A2,LUX,3,1646
386,sales,08-Jan-23,C2,A3,Park Avenue,3,1659
387,sales,08-Jan-23,C2,A4,Cinthol,7,1638
388,sales,08-Jan-23,C2,A5,Dove,5,1668
389,sales,08-Jan-23,C2,A6,Medimix,2,1673
390,sales,08-Jan-23,C3,A1,Hamam,10,1647
391,sales,08-Jan-23,C3,A2,LUX,10,1636
392,sales,08-Jan-23,C3,A3,Park Avenue,1,1658
393,sales,08-Jan-23,C3,A4,Cinthol,2,1636
394,sales,08-Jan-23,C3,A5,Dove,3,1665
395,sales,08-Jan-23,C3,A6,Medimix,6,1667
396,sales,08-Jan-23,C4,A1,Hamam,2,1645
397,sales,08-Jan-23,C4,A2,LUX,2,1634
398,sales,08-Jan-23,C4,A3,Park Avenue,2,1656
399,sales,08-Jan-23,C4,A4,Cinthol,7,1629
400,sales,08-Jan-23,C4,A5,Dove,1,1664
401,sales,08-Jan-23,C4,A6,Medimix,1,1666
402,sales,08-Jan-23,C5,A1,Hamam,2,1643
403,sales,08-Jan-23,C5,A2,LUX,8,1626
404,sales,08-Jan-23,C5,A3,Park Avenue,8,1648
405,sales,08-Jan-23,C5,A4,Cinthol,2,1627
406,sales,08-Jan-23,C5,A5,Dove,8,1656
407,sales,08-Jan-23,C5,A6,Medimix,8,1658
408,sales,08-Jan-23,C6,A1,Hamam,5,1638
409,sales,08-Jan-23,C6,A2,LUX,1,1625
410,sales,08-Jan-23,C6,A3,Park Avenue,8,1640
411,sales,08-Jan-23,C6,A4,Cinthol,7,1620
412,sales,08-Jan-23,C6,A5,Dove,9,1647
413,sales,08-Jan-23,C6,A6,Medimix,1,1657
414,sales,08-Jan-23,C7,A1,Hamam,1,1637
415,sales,08-Jan-23,C7,A2,LUX,1,1624
416,sales,08-Jan-23,C7,A3,Park Avenue,3,1637
417,sales,08-Jan-23,C7,A4,Cinthol,5,1615
418,sales,08-Jan-23,C7,A5,Dove,10,1637
419,sales,08-Jan-23,C7,A6,Medimix,10,1647
420,sales,08-Jan-23,C8,A1,Hamam,8,1629
421,sales,08-Jan-23,C8,A2,LUX,3,1621
422,sales,08-Jan-23,C8,A3,Park Avenue,9,1628
423,sales,08-Jan-23,C8,A4,Cinthol,4,1611
424,sales,08-Jan-23,C8,A5,Dove,4,1633
425,sales,08-Jan-23,C8,A6,Medimix,9,1638
426,sales,08-Jan-23,C9,A1,Hamam,7,1622
427,sales,08-Jan-23,C9,A2,LUX,4,1617
428,sales,08-Jan-23,C9,A3,Park Avenue,5,1623
429,sales,08-Jan-23,C9,A4,Cinthol,4,1607
430,sales,08-Jan-23,C9,A5,Dove,4,1629
431,sales,08-Jan-23,C9,A6,Medimix,5,1633
432,sales,09-Jan-23,C1,A1,Hamam,10,1612
433,sales,09-Jan-23,C1,A2,LUX,2,1615
434,sales,09-Jan-23,C1,A3,Park Avenue,1,1622
435,sales,09-Jan-23,C1,A4,Cinthol,10,1597
436,sales,09-Jan-23,C1,A5,Dove,9,1620
437,sales,09-Jan-23,C1,A6,Medimix,4,1629
438,sales,09-Jan-23,C2,A1,Hamam,5,1607
439,sales,09-Jan-23,C2,A2,LUX,6,1609
440,sales,09-Jan-23,C2,A3,Park Avenue,6,1616
441,sales,09-Jan-23,C2,A4,Cinthol,5,1592
442,sales,09-Jan-23,C2,A5,Dove,4,1616
443,sales,09-Jan-23,C2,A6,Medimix,7,1622
444,sales,09-Jan-23,C3,A1,Hamam,10,1597
445,sales,09-Jan-23,C3,A2,LUX,10,1599
446,sales,09-Jan-23,C3,A3,Park Avenue,10,1606
447,sales,09-Jan-23,C3,A4,Cinthol,7,1585
448,sales,09-Jan-23,C3,A5,Dove,2,1614
449,sales,09-Jan-23,C3,A6,Medimix,9,1613
450,sales,09-Jan-23,C4,A1,Hamam,8,1589
451,sales,09-Jan-23,C4,A2,LUX,3,1596
452,sales,09-Jan-23,C4,A3,Park Avenue,2,1604
453,sales,09-Jan-23,C4,A4,Cinthol,4,1581
454,sales,09-Jan-23,C4,A5,Dove,9,1605
455,sales,09-Jan-23,C4,A6,Medimix,4,1609
456,sales,09-Jan-23,C5,A1,Hamam,2,1587
457,sales,09-Jan-23,C5,A2,LUX,5,1591
458,sales,09-Jan-23,C5,A3,Park Avenue,9,1595
459,sales,09-Jan-23,C5,A4,Cinthol,7,1574
460,sales,09-Jan-23,C5,A5,Dove,4,1601
461,sales,09-Jan-23,C5,A6,Medimix,10,1599
462,sales,09-Jan-23,C6,A1,Hamam,10,1577
463,sales,09-Jan-23,C6,A2,LUX,8,1583
464,sales,09-Jan-23,C6,A3,Park Avenue,6,1589
465,sales,09-Jan-23,C6,A4,Cinthol,10,1564
466,sales,09-Jan-23,C6,A5,Dove,8,1593
467,sales,09-Jan-23,C6,A6,Medimix,10,1589
468,sales,09-Jan-23,C7,A1,Hamam,7,1570
469,sales,09-Jan-23,C7,A2,LUX,9,1574
470,sales,09-Jan-23,C7,A3,Park Avenue,7,1582
471,sales,09-Jan-23,C7,A4,Cinthol,10,1554
472,sales,09-Jan-23,C7,A5,Dove,2,1591
473,sales,09-Jan-23,C7,A6,Medimix,3,1586
474,sales,09-Jan-23,C8,A1,Hamam,6,1564
475,sales,09-Jan-23,C8,A2,LUX,2,1572
476,sales,09-Jan-23,C8,A3,Park Avenue,2,1580
